DateTime,power,power_q5,power_q10,power_q25,power_q75,power_q90,power_q95
2025-06-01 00:00:00+00:00,19612.206687093883,18020.142839784705,29599.555282204645,22907.589004508543,24272.891941050697,32218.622887330785,33594.24202047746
2025-06-01 01:00:00+00:00,19559.0643746078,18101.361939556467,29594.421184013005,22825.579721732232,24266.60506251629,32225.45091407163,33453.916996392516
2025-06-01 02:00:00+00:00,19584.410465378314,18153.400499426472,29663.35095341372,22831.1260019271,24138.262590749724,32226.051663103728,33451.28990368136
2025-06-01 03:00:00+00:00,22293.496462517203,18374.146309172607,29947.777959549076,23162.72112424936,24445.134546588448,32222.873385218005,33451.95797870893
2025-06-01 04:00:00+00:00,24966.022411134385,19460.587574147492,30678.652867367568,24574.29546074482,24924.127345943685,32429.691235084356,34060.816006539084
2025-06-01 05:00:00+00:00,28234.92907021243,21340.541352004515,32515.013115421974,27452.50326758219,25837.508459668967,33750.87342466975,36223.77851276437
2025-06-01 06:00:00+00:00,31645.57316917295,23379.439392547167,34444.74903752394,30487.874776363544,32566.46643851828,34836.23688583853,38486.677449394614
2025-06-01 07:00:00+00:00,35833.00589451747,25116.027196856718,36398.81046100682,35113.21793179512,36117.73327492109,36022.47436872221,39650.479832770405
2025-06-01 08:00:00+00:00,38703.32161143502,26321.941707186543,37265.36928040404,39399.59300904247,38738.2798441194,39188.12141112907,40151.664221595696
2025-06-01 09:00:00+00:00,39259.966771096166,27060.500362678857,38135.168683775664,39970.75282875643,39573.923098765605,39787.66258463812,40316.88090814155
2025-06-01 10:00:00+00:00,40293.46514137303,27534.188395291792,39048.545824323366,40943.96840613905,40789.3164810863,41004.33782794995,41265.961982619214
2025-06-01 11:00:00+00:00,40253.90227441029,27562.265308874663,39074.88207168503,40966.92755535494,40773.47363234059,40947.88610898563,41213.9990782314
2025-06-01 12:00:00+00:00,40273.65258360625,27544.79868126377,39008.27156543685,40867.715641943265,40760.695090814086,41003.136148222984,41308.3836635238
2025-06-01 13:00:00+00:00,39936.292523987264,27232.980365187308,38453.8496064109,40458.39802164768,40413.71421814872,40159.794808769446,40887.825275727635
2025-06-01 14:00:00+00:00,37652.14625591364,26395.670017135155,37270.287031323845,38836.74390353049,37737.12402530307,36945.35037210123,40248.99782288248
2025-06-01 15:00:00+00:00,32510.593900566142,24117.30214380101,35220.70553220329,32215.175026598987,33106.98326943558,35901.657812496094,39303.44895444454
2025-06-01 16:00:00+00:00,29252.63036769142,21987.41801834008,33087.846526359484,28137.776389086474,27473.353944984236,35197.61349641694,37641.546135788776
2025-06-01 17:00:00+00:00,26270.634041586352,20366.508376366142,31821.870960113378,25629.692209355268,25671.860026537714,33792.18306379182,35765.08062734711
2025-06-01 18:00:00+00:00,23774.361898104286,19084.247671655095,30570.89568472817,24252.74695540286,25116.81978508986,32584.08244276096,35275.028900606856
2025-06-01 19:00:00+00:00,19871.935779189364,18328.88036780909,29879.944301915468,22965.410625309254,24699.999685337294,32382.095812121483,35067.10135543661
2025-06-01 20:00:00+00:00,19900.885802379224,18180.741337107167,29587.87516545397,22934.243439961767,24677.428888813778,32335.015003644407,34170.625749291656
2025-06-01 21:00:00+00:00,19603.145296754476,18201.115583002476,29719.09836270302,22891.259602685004,24392.410954230636,32222.233544340972,33654.03702011506
2025-06-01 22:00:00+00:00,19596.987068940194,18186.138321223647,29695.508950098334,22858.904331232086,24341.341953267998,32224.091220590864,33508.5491746935
2025-06-01 23:00:00+00:00,19569.626849405086,18151.331568344274,29659.58341368439,22673.227480113925,23934.308662960684,31774.508748518132,33448.32880014747
2025-06-02 00:00:00+00:00,19571.787603573142,18009.798712201446,29640.689116984395,22659.805401624188,23933.06438474803,31624.637466293178,33444.054778414655
2025-06-02 01:00:00+00:00,19342.770533214632,18042.280534156267,29647.452093018426,22666.035907119738,23748.42720867179,31146.780763842045,33438.86110504121
2025-06-02 02:00:00+00:00,19421.0841465665,18071.59396172045,29684.720857073324,22465.808401020106,23893.069720336738,31099.44439590269,33437.981085493615
2025-06-02 03:00:00+00:00,22404.269673102077,18289.539093471853,29998.034427261682,22987.978904356114,24042.006596067073,31158.678125842056,33434.47273685394
2025-06-02 04:00:00+00:00,25578.334801684057,19483.842782906977,30777.99709688707,25018.785282108114,24641.57873091978,32015.350649410888,33949.21716987941
